date,lower_rep,mean_rep,upper_rep,lower_dem,mean_dem,upper_dem
2020-06-07,203,216.77133333333333,230,205,218.22866666666667,232
2020-06-08,202,215.08133333333333,228,207,219.91866666666667,233
2020-06-09,202,214.908,228,207,220.092,233
2020-06-10,197.95,209.898,222,213,225.102,237.04999999999995
2020-06-11,197,208.58933333333334,220,215,226.41066666666666,238
2020-06-12,198,209.41533333333334,221,214,225.58466666666666,237
2020-06-13,197,209.15733333333333,221,214,225.84266666666667,238
2020-06-14,197,208.672,220,215,226.328,238
2020-06-15,197,208.55466666666666,219,216,226.44533333333334,238
2020-06-16,196,207.71666666666667,219,216,227.28333333333333,239
2020-06-17,196,208.078,220,215,226.922,239
2020-06-18,196,207.66733333333335,219,216,227.33266666666665,239
2020-06-19,196,208.04666666666665,219,216,226.95333333333335,239
2020-06-20,196,206.69533333333334,218,217,228.30466666666666,239
2020-06-21,196,207.42466666666667,219,216,227.57533333333333,239
2020-06-22,196,206.854,218,217,228.146,239
2020-06-23,196,207.33466666666666,219,216,227.66533333333334,239
2020-06-24,194,205.70866666666666,217,218,229.29133333333334,241
2020-06-25,195,206.45866666666666,218,217,228.54133333333334,240
2020-06-26,195,206.16333333333333,217,218,228.83666666666667,240
2020-06-27,196,206.644,217,218,228.356,239
2020-06-28,194,205.432,216,219,229.568,241
2020-06-29,193,204.61266666666666,215,220,230.38733333333334,242
2020-06-30,194,204.76733333333334,216,219,230.23266666666666,241
2020-06-01,203,217.2135,231,204,217.7865,232
2020-06-02,203,215.799,229,206,219.201,232
2020-06-03,203,216.9435,231,204,218.0565,232
2020-06-04,202.95000000000002,216.0755,229,206,218.9245,232.04999999999995
2020-06-05,202,216.3005,230,205,218.6995,233
2020-06-06,204,216.638,231,204,218.362,231
2020-07-01,153,206.6282,256,179,228.3218,282
2020-07-02,153,206.4572,256,179,228.4937,282
2020-07-03,152,206.8129,257,178,228.136,282.0499999999993
2020-07-04,153,206.6029,256,179,228.3479,282
2020-07-05,152,205.9347,256,179,229.016,283
2020-07-06,152,206.2416,256,179,228.7029,283
2020-07-07,153,206.4094,256,179,228.5386,282
2020-07-08,152,206.3938,256,179,228.5524,283
2020-07-09,152,206.7029,256,179,228.2433,283
2020-07-10,152,206.7131,256,179,228.2399,283
2020-07-11,154,207.0838,256,179,227.8667,281
2020-07-12,152,206.7267,256,178,228.2206,283
2020-07-13,151,206.3627,257,178,228.5896,284
2020-07-14,152,206.3316,256,179,228.6155,283
2020-07-15,151,206.3889,256,179,228.5576,284
2020-07-16,151,205.8719,256,179,229.0754,284
2020-07-17,149,205.0298,256,179,229.9239,286
2020-07-18,150,205.6617,256,179,229.2927,285
2020-07-19,150,205.2208,256,178.95000000000005,229.7217,285
2020-07-20,151,205.2777,256,179,229.6751,284
2020-07-21,150,205.2899,255,180,229.6473,285
2020-07-22,149,204.8456,255,180,230.1074,286
2020-07-23,149,204.6876,256,179,230.2617,286
2020-07-24,148,203.8365,254,181,231.1152,287
2020-07-25,149,204.0599,254,180.95000000000005,230.8923,286
2020-07-26,150,204.313,255,180,230.6342,285
2020-07-27,149,204.6704,256,179,230.2801,286
2020-07-28,148,204.4149,256,179,230.5356,287
2020-07-29,148,203.8388,255,180,231.1064,287
2020-07-30,148,204.1764,257,178,230.7677,287
2020-07-31,147,203.483,253,182,231.4607,288
2020-08-01,147,203.561,255,180,231.3836,288
2020-08-02,147.95000000000005,203.3612,256,179,231.5849,287
2020-08-03,147,203.7475,256,179,231.2013,288
2020-08-04,148,204.198,255,180,230.7444,287
2020-08-05,146,202.7351,254,181,232.2088,289
2020-08-06,146,203.4427,255,180,231.5029,289
2020-08-07,145.95000000000005,202.9017,255,180,232.04,289.0499999999993
2020-08-09,146,202.7014,256,179,232.2417,289
2020-08-10,145,203.4029,256,179,231.5512,290
2020-08-11,144,202.4253,255,180,232.5236,291
2020-08-12,145,202.5287,255,180,232.4124,290
2020-08-13,145,202.251,257,178,232.696,290
2020-08-16,142,201.9678,257,178,232.9765,293
2020-08-17,142,201.5933,256,179,233.3483,293
